_id,producto,cantPagos,valorNacional,descripcion,pasarela.0.value,numeroPagos,
58b6bd50e7e42320db597096,Estadio TNT Sports por 30 días renovables automáticamente TBK,1000,10990,Podrás disfrutar todo el contenido de Estadio TNT Sports en vivo y VOD desde tu computador y dispositivos móviles habilitados (Copa América 2019 solo para Chile),10990,,
5866a8593c27ec7219b7aab4,Desarrollo Ned,2000,0,Producto desarrollo NED,0,NA,
58530cb71652e44220a586d1,Producto Cupon,2000,0,Producto tipo cupon costo cero,0,,
5864287773981c4e423c0cb2,Estadio TNT Sports 30 días.,1000,15.49,Al suscribirte a Estadio TNT Sports podrás disfrutar en vivo y Vod los contenidos de CDF.,15.49,,
5e3c1a69ebbe0767686abd9f,Promo 50% ECDF por un mes TBK,1,5490,Producto especial,5490,,
5864280873981c4e423c0cb1,Estadio TNT Sports 30 días.,1000,7390,Al suscribirte a Estadio TNT Sports podrás disfrutar en vivo y Vod los contenidos de CDF.,7390,,
5de50727b4032841cc2d4fcc,Promo 50% ECDF por tres meses TBK,3,5490,Producto especial,5490,,
5e0d407538e81e4d0e33d060,Promo 50% ECDF por dos meses TBK,2,5490,Producto especial,5490,,
5b6a0008a5e9ec6c0232646a,Precio Especial $5.000,1000,5000,Producto especial,5000,,
5cf97e266568720ead899a34,Promo 50% ECDF por dos meses TBK,2,3690,Producto especial,3690,,
5dd3e3ba868ed33e1a16bb7b,Promo 50% ECDF por cuatro meses TBK,4,5490,Producto especial,5490,,
5888c1b6f0d69c3b6b3c3c0c,CUPONES CONTACT CENTER $0,2000,0,Para ser utilizados y entregados según políticas de atención a clientes (accesos pagados - Compensación - otro),0,,
58b6bde2e7e42320db597098,Estadio TNT Sports por 30 días renovables automáticamente,2000,17,Podrás disfrutar todo el contenido de Estadio TNT Sports en vivo y VOD desde tu computador y dispositivos móviles habilitados (Copa América 2019 solo para Chile),17,,
5926ed4aa9a2536aba79a0b0,Cupón prueba,2000,0,descripción cupon prueba,17,,
5cf91ccfee6db87d8a684362,Promo 50% ECDF por dos meses TBK,2,5490,Producto especial,5490,,
5f3ea201e31c9f0641ef64df,Socios y abonados 2020.,1000,8500,Producto especial para socios y abonados de clubes de Chile 2020.,8500,,
5f5250406013e326d38dd222,Promo 20% ECDF en próximo pago TBK,1,8792,Promo 20% ECDF en próximo pago TBK,8792,,
5fd803154067d569f50413ef,Test,2000,1,Test,1,4,
5fe0bea94067d569f5041458,Banner de retención 10% off por 4 meses,4,9891,Banner de retención 10% off por 4 meses,9891,4,
5ff4d8944734ac69eb874de7,Banner de retención 20% off por 3 meses,3,8792,,Banner de retención 20% off por 3 meses,8792,3
6005fcca588cd842ea7f838a,Retención Enero2021 30% off 3 meses,3,7693,Retención Enero2021 30% off 3 meses,7693,3,
60105733588cd842ea7f839b,Banner de retención 40% off por 2 meses,2,6594,Banner de retención 40% off por 2 meses,6594,2,
60198971f52d6c42f4ddf6c7,Banner de retención 50% off por 2 meses,2,5495,Banner de retención 50% off por 2 meses,5495,2,
602d6d28f52d6c42f4ddf6e7,Banner de retención $1.000 por 2 meses,2,1000,Banner de retención $1.000 por 2 meses,1000,2,
606478b07f26ff50750f517e,Banner de retención $1.000 por 1 mes,1,1000,Banner de retención $1.000 por 1 mes,1000,1,
60aefd587e526461fb07c3c4,ESTADIO TNT SPORTS PROMO CYBER TBK,1,3000,"Podrás disfrutar de todo el contenido de Estadio TNT Sports en vivo y en VOD desde tu computador y dispositivos móviles habilitados (Copa América, Eurocopa y clasificatorias solo para Chile)",3000,,
60ef53af6a9add36546ea0ae,Socios y abonados 2021.,1000,7000,Al suscribirte a Estadio TNT Sports podrás disfrutar en vivo y Vod los contenidos de CDF.,7000,,
612e546fb5c7017820e35d89,CMR Falabella $5.495 (202109),3,5495,CMR Falabella $5.495 (202109),5495,,
612e54c0b5c7017820e35d8a,Mastercard Ripley $5.495 (202109),3,5495,Mastercard Ripley $5.495 (202109),5495,,
612e5539b5c7017820e35d8b,Banco Estado $5.495 (202109),4,5495,Banco Estado $5.495 (202109),5495,,
6139278146d89bb58a1e313e,Banner de retención $6.500 por 5 meses,5,6500,Banner de retención $6.500 por 5 meses,6500,5,
61562b32cd7e97ed14a6fb9e,Banner de retención $6.500 por 4 meses,4,6500,Banner de retención $6.500 por 4 meses,6500,4,
616dbd1c1bfe6a4824a424b4,ABCVISA $5.495 (202110),3,5495,ABCVISA $5.495 (202110),5495,,
6177118ec832492cc16fa380,Accion_CuponesV2_remedation ,2000,3000,Este producto está considerado para uso interno,3000,,
618ae65a11de7702e109f272,ESTADIO TNT SPORTS $5.000 CLP MENSUALES EN LOS PRIMEROS 3 PAGOS.,3,5000,"Podrás disfrutar de todo el contenido de Estadio TNT Sports en vivo y en VOD desde tu computador y dispositivos móviles habilitados (Copa América, Eurocopa y clasificatorias solo para Chile)",5000,,
61955293433df5ece0c5e5cf,Banner de retención $500 por 3 meses,3,500,Banner de retención $500 por 3 meses,500,3,
619bbd00cc19fb7f3053a38b,ESTADIO TNT SPORTS $500 CLP MENSUALES EN LOS PRIMEROS 3 PAGOS.,3,500,"Podrás disfrutar de todo el contenido de Estadio TNT Sports en vivo y en VOD desde tu computador y dispositivos móviles habilitados (Copa América, Eurocopa y clasificatorias solo para Chile)",500,,
